"Mission","Index","Title","Description","Latitude","Longitude","Image"
"12","6","The Harbour Is An Ironing Board","","-41.287355","174.779482","https://lh3.googleusercontent.com/Hu84s1VhKVzfZzXProay7jyIweo90adErLMUSOXixb9YxbOIIIAMNb0y7O9N74cBxMp81jpGkX07ePKwdS5mFtwwG9Y9XFUSHbBorQ-ARVl7"
"13","1","Wahine Mast","","-41.287266","174.77921","https://lh3.googleusercontent.com/COy-DldpaCXuTyl7uIVliVOWD0FNtmKLGchqGOddUqiOnhxxV922qfs4gfqu0kDF0uRxupayT-KOJWkoGdi3JaoDgYsZQpk8PToczcuLFoctmA"
"13","2","Water Whirler by Len Lye","","-41.286423","174.779302","https://lh3.googleusercontent.com/D8Go62AfKb2eCpgSgD1vOQUhJ4wIqxnvTL0fMus8Uox4gXTdTwqiK9UhXH-U14Is0pSCb7qZg5hC4MXkOp3pHkj1hisvSQ-Gfn82c-3y6PQ2Kg"
"13","3","Wellington Cultural Mural","","-41.284365","174.77971","https://lh3.googleusercontent.com/FBT4z_-GadR76Itx4jQbl13z077ZgD3MV13cx6j6Gi-hXXk-51CrfKQA2ReeWOa59NP1MPsgcVMZwX81DSMFiXyMgx03UbBE-5P2PTH5Mkmg"
"13","4","Aunty June Mural","","-41.28385","174.779827","https://lh3.googleusercontent.com/TYJWrSZSYsB_t8_9hvnHKlikXJCZoCGXmwGZ4pZ7eMz5YxzxvOi8SJh5z1g3nSyLCs_KjUQ5XMo0sAxAhEY7jAh4jZDX-317vNUdS6vLOcw"
"13","5","Paddy the Wanderer","","-41.284828","174.778084","https://lh3.googleusercontent.com/ZpAP-iTBUmVZaZbZ4ignVBU29XYqnp9EIsU2HjWwNL-s5Vu4BGLSjP_vJWUUIEj8sJpIt0vfUOsf9ewU2pbwiTvIt56nbRnvDQ2mjgRwULE"
"13","6","We Are Water","","-41.285233","174.778315","https://lh3.googleusercontent.com/PFySkmBlgTGRLYXbClg0IG4StCkJJ3HmKorzIM2UJUAAOdjVvmtg1WWrv_ZS2K_plPDUdrlZB6gVJXCKiYFR1YzcR3rRaMnKOCnBsyOpgeQP3g"
"14","1","Sky Blues by Bill Culbert","","-41.284932","174.777245","https://lh3.googleusercontent.com/TYXLbjD_JMWJC69OlPBkMb1Wq2BSQ6sGsrKviLWFqiIuDHpJl7RXtIX4yw9uBoO6cQzP_9Yi9XJ5JtJhj0bIDSB1DQb1vbeavPNOMoMOPiHx"
"14","2","Invisible City","","-41.284474","174.775518","https://lh3.googleusercontent.com/UXTe7Wkb9khOViOYxvfX3mB8trsLYR0eslNbzMMxNyGyFdVYuaIELAWdqwddZ9aCqFRhOi_0pzbVkzELRKWiuiaBkWWu8GLkjjcBCjyObv96"
"14","3","Electric Streetlight","","-41.28527","174.775841","https://lh3.googleusercontent.com/1wRJfqIBrh7JAkDOQaTRKXPR-QHBjaWwnjlETdQU4DKOcAFx2f64D1pY5r4m2H2JWLCVsxZggUxXOC8PfzgFDizjShKwsB6Wx5L5bL_LWIbc"
"14","4","Protoplasm","","-41.285461","174.775823","https://lh3.googleusercontent.com/p7qcb2hHnaFZpFWkZ9DgnvcTjPGOswxJ5A4FGuUrCkRZjhEGqsEWiQoL_lMqk7LwbJwzGicyNw2i2pIM4cBjgggFjIAzXJOTfI3Y0bx36B1v"
"14","5","John Plimmer and His Dog Fritz","","-41.285728","174.775772","https://lh3.googleusercontent.com/d7L2JbXXGPuIKNE9p0retRY8EmF9L9YCFB3BzumxYMNbjDRONzGaCBvW2FnhD8KhIjvaCFS67B1lFmaM4Yug0w0DLXNVofWHn956xWd2axf54Q"
"14","6","Arrival of the Waka","","-41.2866","174.775978","https://lh3.googleusercontent.com/zGOQo5aBJWrTUwZW6wkn8xXf5uO0jwh8y3m6QvePXxE812Uhyote6xyc4pyxqRqFR0chquIqiEGoAoz3RQscgh69COU0_xfyyPiuAoZmhbU"
"15","1","Gateway Sculpture","","-41.287346","174.776572","https://lh3.googleusercontent.com/bRzSHSIYWOoDIqA2YPUr5Hu7vRMqhBE4-OHshaFrGMKOUIsXAGX7_KTsAmY379_w216EGm2besOEuOci5sfaoBS5nA-n_6m0_FVxfpOhgsQ"
"15","2","Rita Angus","","-41.288726","174.775582","https://lh3.googleusercontent.com/jpm6EpeYfO6NcTcE3dzls5IiyVkYSxa2rYdmKNFQgrztTDSy42CqhzaL9tgmVMuwj-9z-U3mDngGVMt1_8mYlNGlMQE19my-r96JkxOfet3LTw"
"15","3","Hang in There","","-41.288829","174.775371","https://lh3.googleusercontent.com/n9byZbm7dHfWQCsBebXkrfYEZRZJAJT9uBqZyzONLOzlV0F0iYQCArgTOSI6XBXPPyI6W8-BxRSAPH5GgUIgPxMaSr1pfq3yK6BA47jq-udK"
"15","4","Bond Street Heads","","-41.288982","174.77533","https://lh3.googleusercontent.com/cYtwOUyO3ogaOUCVIvmxX2yJSnj2VtXT81i0MXMNDjT6bS2MyW3XBSFV65tgKMbCNWr2s7aFkLOzWj1fhrmlzOO3uzYK23xNaGi3KJiWXYazWQ"
"15","5","Bond Street Mural Wall","","-41.28907","174.77528","https://lh3.googleusercontent.com/2w69dKuArzPFmP4Y_eoSIQHGlHuO-qarPQEGmpki7ppViOU83KIYdJJiug8ukE25aSIK-RjPKdeHfV3NkEcfMtPF7Sh9tV_j3CZhtqfjSkpIxg"
"15","6","Grand Head","","-41.28905","174.775996","https://lh3.googleusercontent.com/7DwvCxw0up3Ow5Z6e6QNJTFAZgRoqEOxO0ml50Dj52_GBblCgTJ-VVl7c2MOvQ_hbMqbl5dxMDVTk7FF7Fw4LRNLsH8V1RFk575GXBIkC3Pt"
